age,gender,sleep_hours,daily_steps,exercise_minutes_week,water_intake_liters,stress_level,nutrition_quality,screen_time_hours,wellbeing_score
36 to 50,Female,4,4,115,1.81,4,0,5,528.8
51 or more,Male,6,7,67,1.68,3,4,4,694.7
51 or more,Female,8,4,211,2.67,1,5,7,662.2
21 to 35,Female,7,5,193,3.84,2,5,3,704.7
36 to 50,Female,8,10,274,2.91,2,5,2,694.0
36 to 50,Female,8,10,155,3.4,2,5,8,694.0
21 to 35,Female,8,10,236,2.67,3,3,6,709.3
21 to 35,Male,6,1,296,2.46,5,0,8,538.8
Less than 20,Male,8,8,116,3.56,1,1,3,654.5
51 or more,Female,8,1,174,2.66,1,5,8,680.3
21 to 35,Male,6,1,151,1.85,5,0,9,538.8
21 to 35,Female,6,3,127,2.19,4,3,7,651.4
21 to 35,Female,8,2,162,2.9,2,5,5,724.7
51 or more,Female,6,6,94,2.51,2,5,2,677.5
51 or more,Female,6,7,228,2.42,4,4,9,696.4
36 to 50,Female,8,2,154,3.17,4,2,6,658.4
36 to 50,Female,8,8,237,3.09,0,5,2,749.7
36 to 50,Female,8,8,237,2.29,0,5,5,749.7
36 to 50,Female,6,9,150,2.4,4,3,4,676.4
21 to 35,Female,6,9,171,3.38,4,3,5,594.8
21 to 35,Female,8,10,86,3.8,3,5,4,758.6
21 to 35,Male,6,7,174,2.31,4,3,6,640.3
36 to 50,Male,7,8,73,2.23,2,3,5,678.1
36 to 50,Male,6,4,161,2.16,3,2,5,678.8
36 to 50,Female,10,1,110,1.85,5,1,8,551.5
21 to 35,Female,6,10,59,2.44,5,5,5,639.2
21 to 35,Female,7,7,238,2.79,3,1,5,718.7
21 to 35,Female,7,5,272,2.84,3,1,4,697.9
51 or more,Female,7,4,212,3.23,3,2,4,670.5
36 to 50,Female,7,3,187,1.63,3,4,3,666.9
21 to 35,Male,6,8,175,2.9,4,5,8,638.8
21 to 35,Female,6,5,262,2.14,4,5,6,651.8
21 to 35,Male,9,10,121,2.1,2,3,6,639.8
36 to 50,Female,7,6,201,3.47,2,3,4,687.9
21 to 35,Female,7,2,219,1.88,3,2,3,593.6
21 to 35,Female,8,5,60,2.32,4,3,3,626.7
21 to 35,Male,6,3,138,3.09,2,2,5,658.2
51 or more,Female,7,1,124,3.11,2,1,3,605.3
36 to 50,Female,6,1,106,1.62,2,3,6,645.9
21 to 35,Male,8,6,180,1.68,2,2,2,669.4
21 to 35,Female,7,10,171,3.14,3,1,4,605.4
51 or more,Female,6,5,260,3.88,2,3,8,690.9
Less than 20,Female,9,1,287,4.0,2,5,5,709.4
Less than 20,Female,9,1,157,3.97,2,5,8,709.4
21 to 35,Female,6,10,253,2.38,5,3,3,627.3
51 or more,Female,8,4,213,2.1,5,2,9,643.5
21 to 35,Male,7,8,58,1.75,1,2,8,637.3
21 to 35,Female,10,9,47,2.31,2,1,4,665.3
21 to 35,Female,10,9,160,2.19,2,1,8,665.3
21 to 35,Male,9,10,298,2.94,2,5,4,714.6
21 to 35,Female,5,9,135,2.42,3,5,4,649.0
36 to 50,Female,7,10,186,2.08,2,5,6,717.6
36 to 50,Male,7,10,88,3.03,4,5,5,748.2
36 to 50,Female,7,9,121,2.31,5,3,2,637.5
21 to 35,Female,4,9,289,2.38,3,2,5,628.4
Less than 20,Male,5,3,80,3.0,4,3,7,634.2
21 to 35,Male,9,3,162,1.8,4,5,3,653.7
21 to 35,Male,8,10,196,3.44,3,1,7,656.6
36 to 50,Female,10,1,34,3.91,0,2,5,670.5
36 to 50,Female,8,1,165,2.73,2,1,6,588.5
36 to 50,Female,8,6,255,2.9,3,2,2,672.8
21 to 35,Male,6,10,213,2.46,4,5,8,695.3
36 to 50,Male,6,2,120,3.89,3,2,5,591.7
21 to 35,Female,9,5,218,1.83,2,3,3,649.0
51 or more,Female,7,7,162,3.53,3,5,5,708.5
Less than 20,Female,6,3,201,3.13,1,1,8,673.5
21 to 35,Female,5,4,279,3.48,4,0,6,595.3
51 or more,Female,7,10,90,3.88,4,3,8,671.7
Less than 20,Female,5,10,79,2.74,4,3,8,625.4
Less than 20,Male,10,7,252,2.22,1,5,8,705.7
36 to 50,Male,9,9,201,3.45,2,5,4,753.5
Less than 20,Male,10,8,254,3.61,1,5,6,707.6
Less than 20,Male,10,10,220,3.22,0,5,6,713.1
51 or more,Female,6,7,294,3.62,2,5,6,687.9
51 or more,Female,6,2,273,3.33,3,2,2,729.4
51 or more,Female,7,5,108,3.89,3,5,7,665.6
21 to 35,Male,8,2,51,2.93,2,1,5,576.8
36 to 50,Female,6,5,65,2.45,5,2,3,602.5
36 to 50,Female,6,7,185,3.2,4,3,4,669.2
36 to 50,Female,7,4,85,1.67,2,2,8,680.7
36 to 50,Female,9,4,277,2.75,5,5,8,694.7
36 to 50,Female,9,1,290,3.43,4,3,4,612.5
36 to 50,Male,7,5,289,1.92,3,4,7,679.2
21 to 35,Male,8,3,44,2.5,3,2,2,677.3
36 to 50,Female,7,6,217,2.38,1,5,8,730.4
36 to 50,Female,8,2,55,2.34,5,3,3,658.4
36 to 50,Female,6,4,52,3.13,3,5,7,714.5
Less than 20,Female,6,6,132,2.74,5,5,4,619.7
21 to 35,Female,7,6,58,3.49,3,4,8,672.6
36 to 50,Female,8,3,86,1.64,3,3,3,602.5
51 or more,Female,7,5,91,2.63,3,4,9,689.4
51 or more,Male,7,2,77,1.53,2,3,3,683.7
51 or more,Male,7,2,64,2.05,2,3,5,683.7
51 or more,Female,6,4,75,3.44,5,1,8,632.9
21 to 35,Male,8,5,62,1.77,1,1,2,665.8
51 or more,Female,6,6,255,1.76,3,5,6,733.6
51 or more,Female,8,10,295,2.5,2,5,9,711.0
21 to 35,Male,10,3,245,3.44,3,1,8,558.7
51 or more,Female,8,10,246,3.1,3,4,8,753.5
21 to 35,Female,7,3,205,3.45,2,3,9,636.3
21 to 35,Female,9,2,73,1.62,3,3,6,604.2
51 or more,Male,5,2,248,2.91,4,1,7,620.4
21 to 35,Female,5,10,155,2.63,4,3,9,645.8
21 to 35,Male,6,9,229,3.74,4,3,4,594.8
21 to 35,Male,6,10,114,3.34,3,2,4,674.9
51 or more,Female,6,10,70,2.56,3,5,2,715.7
51 or more,Male,6,1,240,2.88,1,2,9,596.6
Less than 20,Male,8,2,68,2.56,1,5,9,680.5
Less than 20,Male,8,2,298,2.6,1,5,5,680.5
36 to 50,Female,7,10,210,3.09,2,3,4,715.9
51 or more,Female,7,10,260,2.04,3,3,7,639.4
21 to 35,Female,8,7,99,2.33,1,5,9,698.5
21 to 35,Male,8,2,105,2.2,1,0,7,639.7
51 or more,Female,7,5,263,3.5,4,4,8,714.9
21 to 35,Female,7,9,165,3.85,2,2,7,657.9
51 or more,Female,8,3,183,2.54,2,4,7,658.6
51 or more,Female,8,6,128,1.69,1,5,7,732.3
51 or more,Female,7,4,159,1.73,2,5,8,706.2
21 to 35,Female,5,9,36,2.5,4,3,4,642.2
51 or more,Female,9,7,134,2.49,2,5,8,702.1
21 to 35,Female,7,6,79,1.87,3,2,3,699.8
51 or more,Male,7,5,253,3.52,2,4,2,665.6
Less than 20,Female,10,1,93,2.75,3,3,6,677.3
36 to 50,Female,7,10,210,1.77,2,5,2,729.5
21 to 35,Female,6,1,104,1.75,3,0,7,628.9
21 to 35,Female,8,1,295,2.61,5,2,6,583.4
21 to 35,Male,8,1,218,1.79,4,0,8,597.0
21 to 35,Female,7,8,212,2.9,4,5,3,679.8
36 to 50,Male,9,4,97,2.46,4,2,5,628.4
36 to 50,Male,5,1,199,3.8,4,2,6,627.0
21 to 35,Male,8,7,201,2.55,1,2,3,739.3
36 to 50,Female,8,10,136,3.04,4,4,5,704.2
Less than 20,Female,7,1,140,3.53,4,1,3,661.4
21 to 35,Female,7,8,107,2.26,4,5,5,679.8
36 to 50,Male,6,4,215,2.78,4,2,4,615.9
51 or more,Female,8,8,282,1.8,4,4,7,741.2
36 to 50,Male,8,10,265,2.58,1,3,8,677.0
36 to 50,Male,8,10,122,2.44,1,3,8,677.0
51 or more,Male,7,3,159,2.57,4,4,5,644.8
21 to 35,Male,6,10,212,1.77,1,1,6,727.6
21 to 35,Male,6,10,63,2.5,1,1,5,727.6
36 to 50,Female,6,3,251,3.68,4,3,2,608.9
21 to 35,Female,7,2,30,3.84,1,3,5,734.7
21 to 35,Female,10,3,126,2.1,4,1,3,650.5
21 to 35,Male,9,8,116,2.25,0,5,6,743.1
51 or more,Female,9,5,281,1.52,1,3,7,725.5
21 to 35,Male,6,8,44,1.79,1,5,9,749.3
36 to 50,Female,6,10,171,2.36,4,3,4,703.8
51 or more,Female,6,8,99,3.21,5,4,9,660.9
36 to 50,Male,7,2,83,2.23,2,4,7,702.4
36 to 50,Male,10,5,281,1.69,5,2,9,639.0
36 to 50,Male,10,5,276,3.33,5,2,8,639.0
21 to 35,Male,9,1,163,2.67,3,1,4,609.1
51 or more,Male,4,9,273,2.8,0,5,9,645.4
36 to 50,Female,8,7,268,2.32,2,4,9,688.3
36 to 50,Female,8,7,46,3.03,2,4,3,688.3
21 to 35,Female,9,4,262,3.73,1,4,4,698.1
21 to 35,Female,6,8,183,2.88,5,5,6,615.0
36 to 50,Female,7,9,215,2.97,2,4,3,727.6
36 to 50,Female,7,5,112,2.43,1,4,6,720.0
36 to 50,Female,7,10,84,1.71,3,5,8,727.8
51 or more,Female,8,8,91,2.57,0,5,4,754.8
36 to 50,Male,6,3,88,3.81,4,1,7,624.2
36 to 50,Female,8,7,171,3.2,2,4,4,676.4
21 to 35,Male,7,2,178,2.73,4,3,2,573.2
51 or more,Female,5,1,203,3.05,5,2,9,581.1
36 to 50,Female,7,3,91,2.9,3,5,3,624.4
21 to 35,Female,8,6,196,3.78,1,3,5,667.7
21 to 35,Male,8,6,199,2.06,2,4,9,667.7
21 to 35,Female,8,6,132,3.72,2,5,3,754.4
36 to 50,Female,6,6,57,3.22,3,4,6,706.4
51 or more,Male,5,8,113,1.82,5,5,4,645.4
36 to 50,Female,5,1,163,2.43,3,1,8,598.1
21 to 35,Male,7,7,88,2.59,2,2,7,625.2
21 to 35,Male,7,3,119,1.71,1,5,2,728.1
51 or more,Female,7,2,99,2.89,3,4,7,668.4
36 to 50,Female,8,6,214,2.15,3,2,3,672.8
51 or more,Female,6,8,89,2.65,4,5,8,710.2
Less than 20,Male,7,3,174,2.6,2,1,7,629.5
36 to 50,Female,6,8,197,2.8,3,2,6,693.2
21 to 35,Male,7,6,95,3.62,4,4,2,638.6
36 to 50,Male,8,7,153,3.45,3,4,2,729.1
51 or more,Male,6,4,242,3.68,3,2,2,607.4
21 to 35,Male,7,9,211,2.93,4,4,8,685.1
21 to 35,Female,8,5,100,3.04,5,2,4,655.6
36 to 50,Female,8,5,73,2.58,1,2,8,664.1
21 to 35,Female,8,3,224,3.29,2,2,8,672.2
51 or more,Male,7,2,86,2.01,2,1,6,665.0
36 to 50,Female,6,4,86,2.69,2,2,2,687.3
51 or more,Female,8,4,200,3.29,1,5,7,646.9
51 or more,Male,8,8,112,3.44,4,4,7,681.7
51 or more,Male,7,10,123,2.12,1,4,8,741.4
21 to 35,Female,8,10,296,1.95,1,3,7,722.9
Less than 20,Female,9,8,190,2.22,4,3,4,620.7
Less than 20,Female,8,8,131,3.8,4,3,4,589.9
21 to 35,Male,7,5,141,1.82,1,5,4,720.0
21 to 35,Female,8,5,95,3.88,3,3,9,575.7
51 or more,Female,6,5,139,3.99,1,5,3,684.1
36 to 50,Female,7,5,149,3.46,2,5,7,769.3
36 to 50,Female,6,3,271,3.4,3,2,4,620.8
21 to 35,Female,4,1,177,3.88,5,1,6,601.3
51 or more,Female,5,8,271,2.23,2,5,5,771.2
51 or more,Female,7,8,251,1.82,2,4,3,671.3
21 to 35,Male,7,2,33,3.56,5,4,2,649.7
21 to 35,Male,5,5,37,1.93,4,1,4,600.6
36 to 50,Female,7,8,81,1.61,2,4,8,700.2
36 to 50,Female,6,10,171,1.99,2,4,7,646.0
36 to 50,Female,7,3,296,2.59,1,0,3,636.3
21 to 35,Female,6,2,117,2.74,3,2,9,681.8
36 to 50,Male,5,5,189,1.66,1,3,3,699.2
51 or more,Female,6,2,57,2.61,4,4,9,642.7
21 to 35,Female,5,7,45,3.01,3,3,8,665.6
51 or more,Male,6,5,129,3.83,0,5,6,684.1
36 to 50,Male,6,6,233,2.07,3,2,2,641.8
51 or more,Female,8,1,219,2.03,4,1,5,627.6
36 to 50,Male,5,5,63,2.47,5,3,5,673.7
51 or more,Male,7,3,288,3.96,4,1,7,682.2
36 to 50,Female,6,1,286,2.34,3,1,3,579.6
51 or more,Female,7,3,82,1.61,2,5,3,656.7
Less than 20,Female,8,5,221,2.16,2,5,2,655.6
Less than 20,Male,9,8,201,2.9,2,5,7,709.1
21 to 35,Female,9,5,76,2.53,5,5,3,553.8
21 to 35,Female,8,7,220,3.44,4,3,4,630.5
Less than 20,Female,8,6,70,3.02,1,2,5,710.2
36 to 50,Female,5,8,223,2.9,1,3,7,754.2
36 to 50,Female,6,6,95,2.31,3,3,4,657.1
21 to 35,Female,6,10,72,2.88,5,2,6,610.3
21 to 35,Male,7,1,219,3.04,3,1,3,556.0
21 to 35,Male,6,5,118,1.95,5,4,2,554.9
36 to 50,Male,6,2,205,3.34,1,3,6,683.5
21 to 35,Female,8,10,55,2.48,2,5,6,721.2
21 to 35,Male,7,4,128,3.36,3,2,2,668.8
36 to 50,Male,7,5,90,1.94,2,2,9,638.4
21 to 35,Female,6,2,279,3.14,5,5,6,559.4
36 to 50,Male,8,7,254,1.57,4,2,4,679.8
21 to 35,Male,5,5,111,1.9,1,2,8,632.9
36 to 50,Female,8,6,211,3.73,3,5,6,722.1
51 or more,Female,7,1,217,2.65,2,5,2,683.5
21 to 35,Female,5,7,73,2.77,3,4,5,691.1
36 to 50,Male,7,9,288,3.77,0,3,3,702.1
51 or more,Female,7,7,127,2.71,3,4,2,764.6
51 or more,Male,7,8,120,3.14,2,4,4,701.9
36 to 50,Male,5,5,170,2.05,5,5,4,656.7
51 or more,Female,5,2,281,1.7,3,3,5,703.7
21 to 35,Female,7,2,237,2.38,3,2,4,648.0
51 or more,Female,7,7,208,3.5,1,5,8,683.0
36 to 50,Female,8,6,216,2.62,3,5,2,722.1
21 to 35,Male,8,3,139,1.92,1,1,9,643.3
36 to 50,Male,9,2,248,2.86,4,3,4,643.3
36 to 50,Female,7,3,32,2.16,2,1,8,682.2
36 to 50,Female,7,2,70,3.87,3,4,5,646.3
36 to 50,Male,5,5,154,2.94,3,3,5,626.1
21 to 35,Female,9,2,286,3.96,2,1,8,622.9
36 to 50,Female,7,4,222,1.61,4,5,7,633.1
36 to 50,Male,8,4,144,1.53,3,1,6,609.5
36 to 50,Female,6,10,99,2.69,4,1,8,625.6
36 to 50,Female,8,10,126,3.65,5,4,8,656.6
36 to 50,Male,8,4,245,2.81,4,2,6,663.9
36 to 50,Female,9,9,253,3.69,2,5,8,704.2
36 to 50,Male,8,6,158,1.83,3,3,4,666.0
51 or more,Male,7,8,128,3.25,2,1,9,642.4
36 to 50,Female,7,8,299,3.15,1,3,4,686.6
51 or more,Male,9,6,276,2.86,1,3,7,659.4
36 to 50,Female,8,6,215,2.51,3,5,9,722.1
51 or more,Male,7,5,273,3.12,1,3,4,621.4
36 to 50,Female,7,9,67,2.88,3,3,4,731.0
21 to 35,Male,8,10,286,2.18,3,1,6,663.4
Less than 20,Female,7,4,277,1.76,3,2,2,667.1
36 to 50,Female,8,4,162,2.47,5,2,7,585.7
36 to 50,Female,8,5,73,2.78,2,3,2,626.7
21 to 35,Female,6,4,222,2.77,5,2,2,597.2
21 to 35,Female,8,4,86,2.56,2,3,7,675.8
51 or more,Female,8,10,277,2.32,1,5,8,729.7
36 to 50,Female,8,6,133,2.38,3,5,6,703.4
21 to 35,Female,6,8,74,2.16,4,3,2,655.8
21 to 35,Male,8,5,89,2.95,2,2,7,625.0
21 to 35,Male,7,3,95,3.62,1,0,2,626.1
21 to 35,Female,7,5,252,3.7,4,2,9,653.7
21 to 35,Male,10,5,76,3.98,0,5,6,724.0
21 to 35,Male,7,6,267,1.72,2,2,8,670.9
36 to 50,Female,6,6,55,2.04,0,5,3,699.6
21 to 35,Female,7,6,123,3.33,1,5,4,635.2
36 to 50,Female,6,4,139,3.11,4,2,8,655.0
21 to 35,Male,7,5,290,1.83,3,5,4,657.1
21 to 35,Male,9,5,283,3.08,3,2,3,611.6
36 to 50,Male,8,2,69,2.52,4,2,5,672.0
36 to 50,Male,5,1,283,3.89,2,2,2,584.5
51 or more,Female,8,10,126,3.64,4,4,8,685.5
36 to 50,Male,6,2,55,1.68,4,4,3,550.9
36 to 50,Male,6,2,133,1.72,2,1,2,603.6
36 to 50,Female,7,8,132,2.54,1,5,3,686.6
36 to 50,Female,6,7,104,1.52,2,3,8,696.4
21 to 35,Male,7,10,114,1.74,2,5,7,670.0
51 or more,Female,7,6,243,3.83,3,4,8,618.2
21 to 35,Male,7,10,142,3.48,2,5,7,670.0
51 or more,Female,7,5,86,3.18,2,3,4,684.3
21 to 35,Female,8,2,130,3.58,2,3,2,665.2
21 to 35,Male,9,8,279,2.13,1,4,7,700.6
51 or more,Female,7,3,164,3.31,3,4,7,656.7
Less than 20,Female,7,10,170,3.04,3,4,6,741.4
36 to 50,Male,7,2,113,3.62,2,2,4,627.6
36 to 50,Male,5,1,236,2.21,2,3,9,611.7
21 to 35,Male,6,8,259,3.41,3,2,4,645.6
21 to 35,Female,7,4,90,3.63,1,4,4,704.5
21 to 35,Female,7,6,246,2.87,4,4,2,684.5
21 to 35,Male,8,10,85,2.53,2,4,5,699.1
21 to 35,Male,8,10,58,3.87,2,4,3,699.1
36 to 50,Male,7,10,140,1.92,3,5,9,671.7
21 to 35,Male,8,4,121,1.59,2,4,3,694.5
Less than 20,Male,7,1,171,1.95,5,1,7,596.8
36 to 50,Female,7,5,131,3.21,3,5,6,691.1
21 to 35,Female,9,7,100,3.47,3,1,8,640.9
36 to 50,Male,7,10,42,3.29,5,2,8,661.5
36 to 50,Male,6,1,186,2.55,2,3,5,622.1
36 to 50,Male,6,1,110,3.92,2,3,4,622.1
21 to 35,Female,7,8,129,2.61,2,5,3,747.8
21 to 35,Female,9,7,112,3.95,2,5,2,690.2
36 to 50,Female,8,3,247,3.8,4,3,4,694.3
21 to 35,Female,10,1,266,2.52,3,0,4,551.5
21 to 35,Male,7,6,154,1.9,3,4,7,645.4
51 or more,Female,8,4,230,1.72,1,5,5,697.9
21 to 35,Female,6,5,31,2.83,4,3,8,633.1
51 or more,Male,7,4,91,3.41,0,4,7,738.5
36 to 50,Male,6,6,49,1.94,2,2,5,641.8
36 to 50,Male,7,1,239,2.3,4,2,8,603.6
36 to 50,Male,7,1,209,3.08,4,2,7,603.6
51 or more,Female,8,2,91,2.65,4,0,3,706.0
36 to 50,Female,7,10,270,3.01,3,5,8,687.0
36 to 50,Female,7,10,280,3.19,3,5,3,687.0
51 or more,Female,4,5,39,2.45,4,2,8,637.8
51 or more,Female,6,5,216,3.46,2,4,4,651.8
36 to 50,Female,5,4,139,3.26,2,2,9,614.0
21 to 35,Female,8,1,57,3.22,3,1,6,649.7
21 to 35,Female,8,1,90,1.87,3,1,8,648.0
51 or more,Male,7,10,87,2.69,2,5,4,722.7
51 or more,Female,7,9,281,2.94,1,4,9,731.0
51 or more,Male,8,8,285,2.07,2,4,2,690.2
51 or more,Female,8,6,174,3.4,2,4,6,674.5
21 to 35,Female,8,7,108,1.8,2,5,3,713.8
36 to 50,Male,7,5,243,1.87,4,2,6,657.1
36 to 50,Male,7,3,49,2.53,3,3,6,658.4
51 or more,Female,7,9,259,1.84,1,3,3,739.5
21 to 35,Female,6,5,93,1.53,5,1,2,651.8
21 to 35,Female,5,4,65,2.53,5,1,9,634.4
21 to 35,Female,9,10,240,3.12,1,5,8,714.6
51 or more,Female,8,10,200,2.74,1,5,9,780.7
51 or more,Female,9,1,55,1.63,1,4,2,700.9
51 or more,Female,4,10,292,2.08,0,5,7,781.6
51 or more,Female,6,10,193,2.81,1,5,9,799.0
36 to 50,Male,8,8,91,3.35,1,3,5,734.4
36 to 50,Female,8,5,115,3.48,4,3,8,628.4
51 or more,Female,7,2,102,2.8,1,4,7,678.6
51 or more,Male,6,8,89,3.12,4,5,5,681.3
36 to 50,Male,6,8,207,3.76,3,1,2,693.2
36 to 50,Female,7,7,81,1.66,1,4,8,659.2
21 to 35,Male,6,5,174,1.75,4,1,9,607.6
51 or more,Male,6,5,106,2.64,2,4,2,704.5
51 or more,Male,6,5,148,3.02,2,4,5,704.5
21 to 35,Female,8,2,238,1.51,1,3,9,699.2
21 to 35,Female,7,1,211,2.63,1,3,7,671.6
51 or more,Female,7,9,167,1.93,3,5,5,707.2
36 to 50,Male,7,4,154,3.11,1,5,7,680.7
Less than 20,Male,8,9,182,2.17,1,4,2,670.0
36 to 50,Male,8,1,47,3.75,2,2,3,607.2
Less than 20,Male,10,10,93,1.66,0,5,2,709.7
21 to 35,Male,7,5,265,3.52,3,3,7,641.8
21 to 35,Male,8,5,108,2.48,5,1,3,636.9
51 or more,Female,5,5,88,3.64,1,3,3,719.6
51 or more,Male,8,3,280,3.54,2,5,3,658.6
Less than 20,Female,8,3,90,2.1,4,4,8,655.2
51 or more,Male,6,5,147,1.63,2,4,5,704.5
51 or more,Male,6,5,108,3.24,2,4,4,704.5
51 or more,Female,9,3,266,2.01,2,5,2,660.5
36 to 50,Female,6,1,200,3.83,3,2,6,649.3
36 to 50,Female,9,6,273,1.67,1,4,9,673.0
51 or more,Male,6,5,237,2.31,2,4,6,704.5
51 or more,Female,7,5,116,1.53,4,2,2,619.7
51 or more,Male,6,5,168,2.29,2,4,3,704.5
36 to 50,Male,8,10,117,2.85,2,5,5,714.4
36 to 50,Female,6,10,162,3.14,3,5,7,647.7
36 to 50,Female,8,3,68,3.32,4,2,5,600.8
51 or more,Male,8,3,205,3.58,4,3,3,685.8
21 to 35,Female,8,5,109,1.78,0,4,9,723.6
Less than 20,Female,8,6,49,3.4,3,4,2,689.8
Less than 20,Female,7,2,250,2.2,1,4,8,612.3
21 to 35,Female,8,2,217,1.85,2,5,6,740.0
21 to 35,Male,6,4,183,2.16,5,1,5,607.4
51 or more,Female,7,2,172,3.64,3,5,8,627.6
36 to 50,Female,7,6,280,3.07,2,3,8,715.1
36 to 50,Female,8,1,241,2.99,1,4,3,709.2
21 to 35,Female,8,6,178,2.96,5,5,5,705.1
36 to 50,Female,6,2,204,2.52,5,3,3,583.2
51 or more,Male,7,3,201,2.54,1,2,5,615.9
21 to 35,Male,10,3,163,1.87,3,2,6,694.7
36 to 50,Male,10,6,145,2.33,1,2,5,714.0
36 to 50,Female,7,8,232,2.78,2,5,2,705.3
36 to 50,Male,6,7,175,3.02,3,3,8,642.0
21 to 35,Male,7,3,267,1.68,2,4,4,600.6
36 to 50,Female,7,8,257,2.33,4,5,3,620.3
36 to 50,Female,8,10,284,2.35,1,5,8,751.8
Less than 20,Male,8,4,185,2.79,0,5,4,663.9
21 to 35,Male,5,5,272,3.28,3,3,6,711.1
36 to 50,Female,7,5,236,3.09,3,2,9,628.2
Less than 20,Male,7,6,283,2.93,2,1,6,727.0
21 to 35,Female,3,1,287,2.23,5,0,8,563.7
36 to 50,Female,7,10,102,3.6,2,5,9,760.1
36 to 50,Male,7,10,64,3.46,2,2,8,663.2
51 or more,Female,7,4,158,1.96,1,4,4,706.2
51 or more,Male,7,6,217,3.14,4,4,6,664.1
21 to 35,Female,8,8,124,3.77,2,5,9,681.7
